image_id,video_id,sequence,split
0-2237,0,59337,train
0-2238,0,59337,train
0-2239,0,59337,train
0-2240,0,59337,train
0-2241,0,59337,train
0-2242,0,59337,train
0-2243,0,59337,train
0-2244,0,59337,train
0-2245,0,59337,train
0-2246,0,59337,train
0-2247,0,59337,train
0-2248,0,59337,train
0-2249,0,59337,train
0-2250,0,59337,train
0-2251,0,59337,train
0-2252,0,59337,train
0-2253,0,59337,train
0-2254,0,59337,train
0-2255,0,59337,train
0-2256,0,59337,train
0-2257,0,59337,train
0-2258,0,59337,train
0-2259,0,59337,train
0-2260,0,59337,train
0-2261,0,59337,train
0-2262,0,59337,train
0-2263,0,59337,train
0-2264,0,59337,train
0-2265,0,59337,train
0-2266,0,59337,train
0-2267,0,59337,train
0-2268,0,59337,train
0-2269,0,59337,train
0-2270,0,59337,train
0-2271,0,59337,train
0-2272,0,59337,train
0-2273,0,59337,train
0-2274,0,59337,train
0-2275,0,59337,train
0-2276,0,59337,train
0-2277,0,59337,train
0-2278,0,59337,train
0-2279,0,59337,train
0-2280,0,59337,train
0-2281,0,59337,train
0-2282,0,59337,train
0-2283,0,59337,train
0-2284,0,59337,train
0-2285,0,59337,train
0-2286,0,59337,train
0-2287,0,59337,train
0-2288,0,59337,train
0-2289,0,59337,train
0-2290,0,59337,train
0-2291,0,59337,train
0-2292,0,59337,train
0-2293,0,59337,train
0-2294,0,59337,train
0-2295,0,59337,train
0-2296,0,59337,train
0-2297,0,59337,train
0-2298,0,59337,train
0-2299,0,59337,train
0-2300,0,59337,train
0-2301,0,59337,train
0-2302,0,59337,train
0-2303,0,59337,train
0-2304,0,59337,train
0-2305,0,59337,train
0-2306,0,59337,train
0-2307,0,59337,train
0-2308,0,59337,train
0-2309,0,59337,train
0-2310,0,59337,train
0-2311,0,59337,train
0-2312,0,59337,train
0-2313,0,59337,train
0-2314,0,59337,train
0-2315,0,59337,train
0-2316,0,59337,train
0-2317,0,59337,train
0-2318,0,59337,train
0-2319,0,59337,train
0-2320,0,59337,train
0-2321,0,59337,train
0-2322,0,59337,train
0-2323,0,59337,train
0-2324,0,59337,train
0-2325,0,59337,train
0-2326,0,59337,train
0-2327,0,59337,train
0-2328,0,59337,train
0-2329,0,59337,train
0-2330,0,59337,train
0-2331,0,59337,train
0-2332,0,59337,train
0-2333,0,59337,train
0-2334,0,59337,train
0-2335,0,59337,train
0-2336,0,59337,train
0-2337,0,59337,train
0-2338,0,59337,train
0-2339,0,59337,train
0-2340,0,59337,train
0-2341,0,59337,train
0-2342,0,59337,train
0-2343,0,59337,train
0-2344,0,59337,train
0-2345,0,59337,train
0-2346,0,59337,train
0-2347,0,59337,train
0-2348,0,59337,train
0-2349,0,59337,train
0-2350,0,59337,train
0-2351,0,59337,train
0-2352,0,59337,train
0-2353,0,59337,train
0-2354,0,59337,train
0-2355,0,59337,train
0-2356,0,59337,train
0-2357,0,59337,train
0-2358,0,59337,train
0-2359,0,59337,train
0-2360,0,59337,train
0-2361,0,59337,train
0-2362,0,59337,train
0-2363,0,59337,train
0-2364,0,59337,train
0-2365,0,59337,train
0-2366,0,59337,train
0-2367,0,59337,train
0-2368,0,59337,train
0-2369,0,59337,train
0-2370,0,59337,train
0-2371,0,59337,train
0-2372,0,59337,train
0-2373,0,59337,train
0-2374,0,59337,train
0-2375,0,59337,train
0-2376,0,59337,train
0-2377,0,59337,train
0-2378,0,59337,train
0-2379,0,59337,train
0-2380,0,59337,train
0-2381,0,59337,train
0-2382,0,59337,train
0-2383,0,59337,train
0-2384,0,59337,train
0-2385,0,59337,train
0-2386,0,59337,train
0-2387,0,59337,train
0-3738,0,8399,train
0-3739,0,8399,train
0-3740,0,8399,train
0-3741,0,8399,train
0-3742,0,8399,train
0-3743,0,8399,train
0-3744,0,8399,train
0-3745,0,8399,train
0-3746,0,8399,train
0-3747,0,8399,train
0-3748,0,8399,train
0-3749,0,8399,train
0-3750,0,8399,train
0-3751,0,8399,train
0-3752,0,8399,train
0-3753,0,8399,train
0-3754,0,8399,train
0-3755,0,8399,train
0-3756,0,8399,train
0-3757,0,8399,train
0-3758,0,8399,train
0-3759,0,8399,train
0-3760,0,8399,train
0-3761,0,8399,train
0-3762,0,8399,train
0-3763,0,8399,train
0-3764,0,8399,train
0-3765,0,8399,train
0-3766,0,8399,train
0-3767,0,8399,train
0-3768,0,8399,train
0-3769,0,8399,train
0-3770,0,8399,train
0-3771,0,8399,train
0-3772,0,8399,train
0-3773,0,8399,train
0-3774,0,8399,train
0-3775,0,8399,train
0-3776,0,8399,train
0-3777,0,8399,train
0-3778,0,8399,train
0-3779,0,8399,train
0-3780,0,8399,train
0-3781,0,8399,train
0-3782,0,8399,train
0-3783,0,8399,train
0-3784,0,8399,train
0-3785,0,8399,train
0-3786,0,8399,train
0-3787,0,8399,train
0-3788,0,8399,train
0-3789,0,8399,train
0-3790,0,8399,train
0-3791,0,8399,train
0-3792,0,8399,train
0-3793,0,8399,train
0-3794,0,8399,train
0-3795,0,8399,train
0-3796,0,8399,train
0-3797,0,8399,train
0-3798,0,8399,train
0-3799,0,8399,train
0-3800,0,8399,train
0-3801,0,8399,train
0-3802,0,8399,train
0-3803,0,8399,train
0-3804,0,8399,train
0-3805,0,8399,train
0-3806,0,8399,train
0-3807,0,8399,train
0-3808,0,8399,train
0-3809,0,8399,train
0-3810,0,8399,train
0-3811,0,8399,train
0-3812,0,8399,train
0-3813,0,8399,train
0-3814,0,8399,train
0-3815,0,8399,train
0-3816,0,8399,train
0-3817,0,8399,train
0-3818,0,8399,train
0-3819,0,8399,train
0-3820,0,8399,train
0-3821,0,8399,train
0-3822,0,8399,train
0-3823,0,8399,train
0-3824,0,8399,train
0-3825,0,8399,train
0-3826,0,8399,train
0-3827,0,8399,train
0-3828,0,8399,train
0-3829,0,8399,train
0-3830,0,8399,train
0-3831,0,8399,train
0-3832,0,8399,train
0-3833,0,8399,train
0-3834,0,8399,train
0-3835,0,8399,train
0-3836,0,8399,train
0-3837,0,8399,train
0-3838,0,8399,train
0-3839,0,8399,train
0-3840,0,8399,train
0-3841,0,8399,train
0-3842,0,8399,train
0-3843,0,8399,train
0-3844,0,8399,train
0-3845,0,8399,train
0-3846,0,8399,train
0-3847,0,8399,train
0-3848,0,8399,train
0-3849,0,8399,train
0-3850,0,8399,train
0-3851,0,8399,train
0-3852,0,8399,train
0-3853,0,8399,train
0-3854,0,8399,train
0-3855,0,8399,train
0-3856,0,8399,train
0-3857,0,8399,train
0-3858,0,8399,train
0-3859,0,8399,train
0-3860,0,8399,train
0-3861,0,8399,train
0-3862,0,8399,train
0-3863,0,8399,train
0-3864,0,8399,train
0-3865,0,8399,train
0-3866,0,8399,train
0-3867,0,8399,train
0-3868,0,8399,train
0-3869,0,8399,train
0-3870,0,8399,train
0-3871,0,8399,train
0-3872,0,8399,train
0-3873,0,8399,train
0-3874,0,8399,train
0-3875,0,8399,train
0-3876,0,8399,train
0-3877,0,8399,train
0-3878,0,8399,train
0-3879,0,8399,train
0-3880,0,8399,train
0-3881,0,8399,train
0-3882,0,8399,train
0-3883,0,8399,train
0-3884,0,8399,train
0-3885,0,8399,train
0-3886,0,8399,train
0-3887,0,8399,train
0-3888,0,8399,train
0-3889,0,8399,train
0-3890,0,8399,train
0-3891,0,8399,train
0-3892,0,8399,train
0-3893,0,8399,train
0-3894,0,8399,train
0-3895,0,8399,train
0-3896,0,8399,train
0-3897,0,8399,train
0-3898,0,8399,train
0-3899,0,8399,train
0-3900,0,8399,train
0-3901,0,8399,train
0-3902,0,8399,train
0-3903,0,8399,train
0-3904,0,8399,train
0-3905,0,8399,train
0-3906,0,8399,train
0-3907,0,8399,train
0-3908,0,8399,train
0-3909,0,8399,train
0-3910,0,8399,train
0-3911,0,8399,train
0-3912,0,8399,train
0-3913,0,8399,train
0-3914,0,8399,train
0-3915,0,8399,train
0-3916,0,8399,train
0-3917,0,8399,train
0-3918,0,8399,train
0-3919,0,8399,train
0-3920,0,8399,train
0-3921,0,8399,train
0-3922,0,8399,train
0-3923,0,8399,train
0-3924,0,8399,train
0-3925,0,8399,train
0-3926,0,8399,train
0-3927,0,8399,train
0-3928,0,8399,train
0-3929,0,8399,train
0-3930,0,8399,train
0-3931,0,8399,train
0-3932,0,8399,train
0-3933,0,8399,train
0-3934,0,8399,train
0-3935,0,8399,train
0-3936,0,8399,train
0-3937,0,8399,train
0-3938,0,8399,train
0-3939,0,8399,train
0-3940,0,8399,train
0-3941,0,8399,train
0-3942,0,8399,train
0-3943,0,8399,train
0-3944,0,8399,train
0-3945,0,8399,train
0-3946,0,8399,train
0-3947,0,8399,train
0-3948,0,8399,train
0-3949,0,8399,train
0-3950,0,8399,train
0-3951,0,8399,train
0-3952,0,8399,train
0-3953,0,8399,train
0-3954,0,8399,train
0-3955,0,8399,train
0-3956,0,8399,train
0-3957,0,8399,train
0-3958,0,8399,train
0-3959,0,8399,train
0-3960,0,8399,train
0-3961,0,8399,train
0-3962,0,8399,train
0-3963,0,8399,train
0-3964,0,8399,train
0-3965,0,8399,train
0-3966,0,8399,train
0-3967,0,8399,train
0-3968,0,8399,train
0-3969,0,8399,train
0-3970,0,8399,train
0-3971,0,8399,train
0-3972,0,8399,train
0-3973,0,8399,train
0-3974,0,8399,train
0-3975,0,8399,train
0-3976,0,8399,train
0-3977,0,8399,train
0-3978,0,8399,train
0-3979,0,8399,train
0-3980,0,8399,train
0-3981,0,8399,train
0-3982,0,8399,train
0-3983,0,8399,train
0-3984,0,8399,train
0-3985,0,8399,train
0-3986,0,8399,train
0-3987,0,8399,train
0-3988,0,8399,train
0-3989,0,8399,train
0-3990,0,8399,train
0-3991,0,8399,train
0-3992,0,8399,train
0-3993,0,8399,train
0-3994,0,8399,train
0-3995,0,8399,train
0-3996,0,8399,train
0-3997,0,8399,train
0-3998,0,8399,train
0-3999,0,8399,train
0-4000,0,8399,train
0-4001,0,8399,train
0-4002,0,8399,train
0-4003,0,8399,train
0-4004,0,8399,train
0-4005,0,8399,train
0-4006,0,8399,train
0-4007,0,8399,train
0-4008,0,8399,train
0-4009,0,8399,train
0-4010,0,8399,train
0-4011,0,8399,train
0-4012,0,8399,train
0-4013,0,8399,train
0-4014,0,8399,train
0-4015,0,8399,train
0-4016,0,8399,train
0-4017,0,8399,train
0-4018,0,8399,train
0-4019,0,8399,train
0-4020,0,8399,train
0-4021,0,8399,train
0-4022,0,8399,train
0-4023,0,8399,train
0-4024,0,8399,train
0-4025,0,8399,train
0-4026,0,8399,train
0-4027,0,8399,train
0-4028,0,8399,train
0-4029,0,8399,train
0-4030,0,8399,train
0-4031,0,8399,train
0-4032,0,8399,train
0-4033,0,8399,train
0-4034,0,8399,train
0-4035,0,8399,train
0-4036,0,8399,train
0-4037,0,8399,train
0-4038,0,8399,train
0-4039,0,8399,train
0-4040,0,8399,train
0-4041,0,8399,train
0-4042,0,8399,train
0-4043,0,8399,train
0-4044,0,8399,train
0-4045,0,8399,train
0-4046,0,8399,train
0-4047,0,8399,train
0-4048,0,8399,train
0-4049,0,8399,train
0-4050,0,8399,train
0-4051,0,8399,train
0-4052,0,8399,train
0-4053,0,8399,train
0-4054,0,8399,train
0-4055,0,8399,train
0-4056,0,8399,train
0-4057,0,8399,train
0-4058,0,8399,train
0-4059,0,8399,train
0-4060,0,8399,train
0-4061,0,8399,train
0-4062,0,8399,train
0-4063,0,8399,train
0-4064,0,8399,train
0-4065,0,8399,train
0-4066,0,8399,train
0-4067,0,8399,train
0-4068,0,8399,train
0-4069,0,8399,train
0-4070,0,8399,train
0-4071,0,8399,train
0-4072,0,8399,train
0-4073,0,8399,train
0-4074,0,8399,train
0-4075,0,8399,train
0-4076,0,8399,train
0-4077,0,8399,train
0-4078,0,8399,train
0-4079,0,8399,train
0-4080,0,8399,train
0-4081,0,8399,train
0-4082,0,8399,train
0-4083,0,8399,train
0-4084,0,8399,train
0-4085,0,8399,train
0-4086,0,8399,train
0-4087,0,8399,train
0-4088,0,8399,train
0-4089,0,8399,train
0-4090,0,8399,train
0-4091,0,8399,train
0-4092,0,8399,train
0-4093,0,8399,train
0-4094,0,8399,train
0-4095,0,8399,train
0-4096,0,8399,train
0-4097,0,8399,train
0-4098,0,8399,train
0-4099,0,8399,train
0-4100,0,8399,train
0-4101,0,8399,train
0-4102,0,8399,train
0-4103,0,8399,train
0-4104,0,8399,train
0-4105,0,8399,train
0-4106,0,8399,train
0-4107,0,8399,train
0-4108,0,8399,train
0-4109,0,8399,train
0-4110,0,8399,train
0-4111,0,8399,train
0-4112,0,8399,train
0-4113,0,8399,train
0-4114,0,8399,train
0-4115,0,8399,train
0-4116,0,8399,train
0-4117,0,8399,train
0-4118,0,8399,train
0-4119,0,8399,train
0-4120,0,8399,train
0-4121,0,8399,train
0-4122,0,8399,train
0-4123,0,8399,train
0-4124,0,8399,train
0-4125,0,8399,train
0-4126,0,8399,train
0-4127,0,8399,train
0-4128,0,8399,train
0-4129,0,8399,train
0-4130,0,8399,train
0-4131,0,8399,train
0-4132,0,8399,train
0-4133,0,8399,train
0-4134,0,8399,train
0-4135,0,8399,train
0-4136,0,8399,train
0-4137,0,8399,train
0-4138,0,8399,train
0-4139,0,8399,train
0-4140,0,8399,train
0-4141,0,8399,train
0-4142,0,8399,train
0-4143,0,8399,train
0-4144,0,8399,train
0-4145,0,8399,train
0-4146,0,8399,train
0-4147,0,8399,train
0-4148,0,8399,train
0-4149,0,8399,train
0-4150,0,8399,train
0-4151,0,8399,train
0-4152,0,8399,train
0-4153,0,8399,train
0-4154,0,8399,train
0-4155,0,8399,train
0-4156,0,8399,train
0-4157,0,8399,train
0-4158,0,8399,train
0-4159,0,8399,train
0-4160,0,8399,train
0-4161,0,8399,train
0-4162,0,8399,train
0-4163,0,8399,train
0-4164,0,8399,train
0-4165,0,8399,train
0-4166,0,8399,train
0-4167,0,8399,train
0-4168,0,8399,train
0-4169,0,8399,train
0-4170,0,8399,train
0-4171,0,8399,train
0-4172,0,8399,train
0-4173,0,8399,train
0-4174,0,8399,train
0-4175,0,8399,train
0-4176,0,8399,train
0-4177,0,8399,train
0-4178,0,8399,train
0-4179,0,8399,train
0-4180,0,8399,train
0-4181,0,8399,train
0-4182,0,8399,train
0-4183,0,8399,train
0-4184,0,8399,train
0-4185,0,8399,train
0-4186,0,8399,train
0-4187,0,8399,train
0-4188,0,8399,train
0-4189,0,8399,train
0-4190,0,8399,train
0-4191,0,8399,train
0-4192,0,8399,train
0-4193,0,8399,train
0-4194,0,8399,train
0-4195,0,8399,train
0-4196,0,8399,train
0-4197,0,8399,train
0-4198,0,8399,train
0-4199,0,8399,train
0-4200,0,8399,train
0-4201,0,8399,train
0-4202,0,8399,train
0-4203,0,8399,train
0-4204,0,8399,train
0-4205,0,8399,train
0-4206,0,8399,train
0-4207,0,8399,train
0-4208,0,8399,train
0-4209,0,8399,train
0-4210,0,8399,train
0-4211,0,8399,train
0-4212,0,8399,train
0-4213,0,8399,train
0-4214,0,8399,train
0-4215,0,8399,train
0-4216,0,8399,train
0-4217,0,8399,train
0-4218,0,8399,train
0-4219,0,8399,train
0-4220,0,8399,train
0-4221,0,8399,train
0-4222,0,8399,train
0-4223,0,8399,train
0-4224,0,8399,train
0-4225,0,8399,train
0-4226,0,8399,train
0-4227,0,8399,train
0-4228,0,8399,train
0-4229,0,8399,train
0-4230,0,8399,train
0-4231,0,8399,train
0-4232,0,8399,train
0-4233,0,8399,train
0-4234,0,8399,train
0-4235,0,8399,train
0-4236,0,8399,train
0-4237,0,8399,train
0-4238,0,8399,train
0-4239,0,8399,train
0-4240,0,8399,train
0-4241,0,8399,train
0-4242,0,8399,train
0-4243,0,8399,train
0-4244,0,8399,train
0-4245,0,8399,train
0-4246,0,8399,train
0-4247,0,8399,train
0-4248,0,8399,train
0-4249,0,8399,train
0-4250,0,8399,train
0-4251,0,8399,train
0-4252,0,8399,train
0-4253,0,8399,train
0-4254,0,8399,train
0-4255,0,8399,train
0-4256,0,8399,train
0-4257,0,8399,train
0-4258,0,8399,train
0-4259,0,8399,train
0-4260,0,8399,train
0-4261,0,8399,train
0-4262,0,8399,train
0-4263,0,8399,train
0-4264,0,8399,train
0-4265,0,8399,train
0-4266,0,8399,train
0-4267,0,8399,train
0-4268,0,8399,train
0-4269,0,8399,train
0-4270,0,8399,train
0-4271,0,8399,train
0-4272,0,8399,train
0-4273,0,8399,train
0-4274,0,8399,train
0-4275,0,8399,train
0-4276,0,8399,train
0-4277,0,8399,train
0-4278,0,8399,train
0-4279,0,8399,train
0-4280,0,8399,train
0-4281,0,8399,train
0-4282,0,8399,train
0-4283,0,8399,train
0-4284,0,8399,train
0-4285,0,8399,train
0-4286,0,8399,train
0-4287,0,8399,train
0-4288,0,8399,train
0-4289,0,8399,train
0-4290,0,8399,train
0-4291,0,8399,train
0-4292,0,8399,train
0-4293,0,8399,train
0-4294,0,8399,train
0-4295,0,8399,train
0-4296,0,8399,train
0-4297,0,8399,train
0-4298,0,8399,train
0-4299,0,8399,train
0-4300,0,8399,train
0-4301,0,8399,train
0-4302,0,8399,train
0-4303,0,8399,train
0-4304,0,8399,train
0-4305,0,8399,train
0-4306,0,8399,train
0-4307,0,8399,train
0-4308,0,8399,train
0-4309,0,8399,train
0-4310,0,8399,train
0-4311,0,8399,train
0-4312,0,8399,train
0-4313,0,8399,train
0-4314,0,8399,train
0-4315,0,8399,train
0-4316,0,8399,train
0-4317,0,8399,train
0-4318,0,8399,train
0-4319,0,8399,train
0-4320,0,8399,train
0-4321,0,8399,train
0-4322,0,8399,train
0-4323,0,8399,train
0-4324,0,8399,train
0-4325,0,8399,train
0-4326,0,8399,train
0-4327,0,8399,train
0-4328,0,8399,train
0-4329,0,8399,train
0-4330,0,8399,train
0-4331,0,8399,train
0-4332,0,8399,train
0-4333,0,8399,train
0-4334,0,8399,train
0-4335,0,8399,train
0-4336,0,8399,train
0-4337,0,8399,train
0-4338,0,8399,train
0-4339,0,8399,train
0-4340,0,8399,train
0-4341,0,8399,train
0-4342,0,8399,train
0-4343,0,8399,train
0-4344,0,8399,train
0-4345,0,8399,train
0-4346,0,8399,train
0-4347,0,8399,train
0-4348,0,8399,train
0-4349,0,8399,train
0-4350,0,8399,train
0-4351,0,8399,train
0-4352,0,8399,train
0-4353,0,8399,train
0-4354,0,8399,train
0-4355,0,8399,train
0-4356,0,8399,train
0-4357,0,8399,train
0-4358,0,8399,train
0-4359,0,8399,train
0-4360,0,8399,train
0-4361,0,8399,train
0-4362,0,8399,train
0-4363,0,8399,train
0-4364,0,8399,train
